Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts
23:58:14,98.2,0.0,1.8,0.0,0.0,49,118,48068,244.71,
23:58:15,99.9,0.0,0.1,0.0,0.0,49,170,48076,246.35,
23:58:15,100.0,0.0,0.0,0.0,0.0,49,72,48056,246.32,
23:58:16,100.0,0.0,0.0,0.0,0.0,49,172,48144,246.35,
23:58:16,99.2,0.0,0.8,0.0,0.0,49,180,48062,245.77,
23:58:17,99.2,0.0,0.8,0.0,0.0,49,216,48108,246.21,
23:58:17,100.0,0.0,0.0,0.0,0.0,49,80,48062,246.38,
23:58:18,100.0,0.0,0.0,0.0,0.0,49,100,48092,246.37,
23:58:18,100.0,0.0,0.0,0.0,0.0,50,112,48116,246.29,
23:58:19,98.0,0.0,2.0,0.0,0.0,49,136,48072,245.57,
23:58:19,100.0,0.0,0.0,0.0,0.0,49,102,48064,246.17,
23:58:20,100.0,0.0,0.0,0.0,0.0,49,148,48532,246.40,
23:58:20,100.0,0.0,0.0,0.0,0.0,49,162,48014,246.08,
23:58:21,98.5,0.0,1.5,0.0,0.0,49,274,48282,245.40,
23:58:21,99.9,0.0,0.1,0.0,0.0,49,84,47820,244.50,
23:58:22,100.0,0.0,0.0,0.0,0.0,49,138,48108,244.30,
23:58:22,100.0,0.0,0.0,0.0,0.0,49,94,48070,244.66,
23:58:23,99.5,0.0,0.5,0.0,0.0,49,126,48026,244.78,
23:58:23,98.0,0.0,2.0,0.0,0.0,49,86,48062,243.69,
23:58:24,100.0,0.0,0.0,0.0,0.0,49,294,48130,243.68,
23:58:24,100.0,0.0,0.0,0.0,0.0,49,178,48066,243.71,
23:58:25,100.0,0.0,0.0,0.0,0.0,49,266,48066,243.43,
23:58:25,97.2,0.0,2.8,0.0,0.0,49,90,48016,243.90,
23:58:26,100.0,0.0,0.0,0.0,0.0,49,130,48094,242.49,
23:58:26,100.0,0.0,0.0,0.0,0.0,49,86,48014,242.34,
23:58:27,100.0,0.0,0.0,0.0,0.0,50,106,48066,242.23,
23:58:27,99.0,0.0,1.0,0.0,0.0,49,102,48018,242.29,
23:58:28,99.4,0.0,0.6,0.0,0.0,49,154,48062,243.95,
23:58:28,100.0,0.0,0.0,0.0,0.0,49,180,48536,244.23,
23:58:29,100.0,0.0,0.0,0.0,0.0,49,270,48016,244.39,
23:58:29,99.8,0.0,0.2,0.0,0.0,49,106,48066,243.99,
23:58:30,98.2,0.0,1.8,0.0,0.0,49,128,48534,246.00,
23:58:30,100.0,0.0,0.0,0.0,0.0,49,74,48014,245.64,
23:58:31,100.0,0.0,0.0,0.0,0.0,49,146,48070,245.88,
23:58:31,100.0,0.0,0.0,0.0,0.0,49,70,48010,245.75,
23:58:32,98.2,0.0,1.8,0.0,0.0,49,150,48056,245.56,
23:58:32,100.0,0.0,0.0,0.0,0.0,49,152,48012,246.55,
23:58:33,100.0,0.0,0.0,0.0,0.0,49,218,48018,246.38,
23:58:33,99.9,0.0,0.1,0.0,0.0,49,98,48066,246.04,
23:58:34,99.2,0.0,0.8,0.0,0.0,49,298,48124,245.93,
23:58:34,98.9,0.0,1.1,0.0,0.0,49,96,48540,245.80,
23:58:35,100.0,0.0,0.0,0.0,0.0,49,182,48206,245.97,
23:58:35,100.0,0.0,0.0,0.0,0.0,49,72,48058,246.38,
23:58:36,100.0,0.0,0.0,0.0,0.0,49,168,48134,246.34,
23:58:36,98.3,0.0,1.7,0.0,0.0,49,176,48064,244.68,
23:58:37,100.0,0.0,0.0,0.0,0.0,49,300,48608,246.21,
23:58:37,100.0,0.0,0.0,0.0,0.0,49,94,48066,246.38,
23:58:38,100.0,0.0,0.0,0.0,0.0,49,184,48100,245.99,
23:58:38,98.6,0.0,1.4,0.0,0.0,53,126,48030,245.01,
23:58:39,99.5,0.0,0.5,0.0,0.0,49,150,48178,246.41,
23:58:39,100.0,0.0,0.0,0.0,0.0,49,96,48112,245.99,
